index,u_p0,u_p1,u_p2,u_p3,u_p4,u_p5,v_p0,v_p1,v_p2,v_p3,v_p4,v_p5,w_p0,w_p1,w_p2,w_p3,w_p4,w_p5
k,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z,15.0,31.0,50.0,85.0,110.0,131.0,15.0,31.0,50.0,85.0,110.0,131.0,15.0,31.0,50.0,85.0,110.0,131.0
0.0,10.150451895788768,9.434761564330039,11.83256887471984,9.484165469585367,9.770953234831806,10.493374741855703,-0.4303186383899445,1.1581339558054544,-2.263207722948993,2.0703896559924577,-0.43024283898830223,-1.4987063793592903,0.7306759438781154,-0.8759137883751409,-0.21871328128111794,-1.3247526227127624,0.31015566297335795,0.13071952115953744
0.5,10.475959201900276,10.167472970631614,12.190912574116664,10.061057987500533,8.27356043788479,11.65817930289728,-1.6480697988845203,-0.7350365131569179,-2.015695067851258,1.8835385161932927,-0.9998648650680512,-1.2306139506597102,-0.32382920830731904,-1.5069763779657763,-0.07851831804789723,-0.8182853343129362,0.9956086730878108,0.3007166518983462
1.0,9.983334592483946,10.759019925076585,11.971996939042047,10.166725514982776,8.503804372120769,12.863210930622305,0.9775241972698376,-1.3734563267357172,0.0746499033967481,2.2336325840505484,-1.5894596365251394,-1.0331653777194303,-0.28860206970673385,-2.0340964768309986,0.6392790144365044,-1.6436244455786049,0.2334755125486997,0.8783480206192705
1.5,10.047176740762007,13.313311975877015,10.030070041212495,10.86170886142422,9.786592785533276,12.90487832421693,0.593076799940564,-1.1520472731912499,-0.7821735685440374,1.4093422065692651,-1.9880124701377435,-0.8906876853929627,-0.22329140201780906,-0.11127610556131,0.6629216323926335,-1.0744992137789366,0.8436777588781844,0.043011434015287314
2.0,10.89058376133563,13.234037370613894,12.169473034550965,11.615199004329432,10.128994465523366,12.915149667030079,0.8201701311536778,-0.9182473001311962,-0.5721454546870777,0.7866230245690103,-2.45608255835877,-0.8414009005543084,0.010429158146495476,0.9062781367134684,1.156635155028439,-0.5548609474108891,1.1289894149564836,0.5487143617190898
2.5,10.768632517806829,12.806864416073825,11.98763118279279,12.098547881834993,9.77780184359546,11.936800922201146,2.01847628834758,-1.353074428169858,-1.3615869416664024,1.0380699781514655,-1.5708915268995132,-1.4446705470547259,0.060552751240580176,0.9239057092835746,0.2899777388411754,-0.5222822548941128,1.2250457034590776,0.08010141123095071
